round_num,venue,date,year,team_1_team_name,team_1_q1_goals,team_1_q1_behinds,team_1_q2_goals,team_1_q2_behinds,team_1_q3_goals,team_1_q3_behinds,team_1_final_goals,team_1_final_behinds,team_2_team_name,team_2_q1_goals,team_2_q1_behinds,team_2_q2_goals,team_2_q2_behinds,team_2_q3_goals,team_2_q3_behinds,team_2_final_goals,team_2_final_behinds
11,Princes Park,1897-07-17 15:00,1897,Carlton,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,Geelong,0.0,5.0,4.0,7.0,6.0,11.0,9.0,12.0
11,Victoria Park,1897-07-17 15:00,1897,Collingwood,0.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,South Melbourne,1.0,6.0,1.0,12.0,2.0,13.0,2.0,15.0
11,East Melbourne,1897-07-17 15:00,1897,Essendon,3.0,0.0,4.0,3.0,6.0,4.0,9.0,8.0,Fitzroy,1.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0
11,Junction Oval,1897-07-17 15:00,1897,St Kilda,0.0,2.0,0.0,5.0,1.0,7.0,1.0,7.0,Melbourne,2.0,3.0,3.0,5.0,7.0,11.0,10.0,11.0
12,M.C.G.,1897-07-24 15:00,1897,Carlton,1.0,1.0,2.0,4.0,2.0,4.0,2.0,6.0,Melbourne,2.0,0.0,3.0,6.0,5.0,11.0,5.0,16.0
12,Brunswick St,1897-07-24 15:00,1897,Fitzroy,1.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,Collingwood,0.0,3.0,0.0,9.0,2.0,16.0,3.0,17.0
12,East Melbourne,1897-07-24 15:00,1897,Essendon,3.0,6.0,7.0,8.0,9.0,11.0,13.0,16.0,St Kilda,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
12,Lake Oval,1897-07-24 15:00,1897,South Melbourne,1.0,0.0,4.0,0.0,5.0,1.0,5.0,2.0,Geelong,3.0,3.0,3.0,4.0,5.0,5.0,6.0,8.0
13,Princes Park,1897-07-31 15:00,1897,Carlton,1.0,3.0,4.0,7.0,6.0,9.0,8.0,11.0,St Kilda,1.0,2.0,1.0,4.0,2.0,5.0,3.0,7.0
13,Victoria Park,1897-07-31 15:00,1897,Collingwood,0.0,2.0,5.0,7.0,5.0,8.0,5.0,13.0,Melbourne,1.0,5.0,2.0,6.0,3.0,8.0,3.0,10.0
13,East Melbourne,1897-07-31 15:00,1897,Essendon,3.0,0.0,5.0,0.0,5.0,1.0,8.0,1.0,South Melbourne,2.0,2.0,4.0,2.0,6.0,7.0,6.0,9.0
13,Brunswick St,1897-07-31 15:00,1897,Fitzroy,0.0,5.0,0.0,6.0,2.0,8.0,2.0,9.0,Geelong,0.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0
14,Victoria Park,1897-08-07 15:00,1897,Collingwood,2.0,1.0,3.0,5.0,5.0,8.0,7.0,12.0,Carlton,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0
14,M.C.G.,1897-08-07 15:00,1897,Melbourne,2.0,4.0,5.0,6.0,7.0,8.0,8.0,8.0,Essendon,1.0,2.0,1.0,2.0,4.0,2.0,6.0,3.0
14,Lake Oval,1897-08-07 15:00,1897,South Melbourne,0.0,0.0,0.0,5.0,2.0,10.0,3.0,12.0,Fitzroy,1.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0
14,Corio Oval,1897-08-07 15:00,1897,Geelong,4.0,4.0,5.0,4.0,10.0,8.0,14.0,12.0,St Kilda,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0
Semi Final,M.C.G.,1897-08-21 14:30,1897,Melbourne,1.0,1.0,2.0,2.0,4.0,5.0,7.0,5.0,Collingwood,1.0,4.0,5.0,5.0,6.0,8.0,7.0,9.0
Semi Final,Corio Oval,1897-08-21 14:30,1897,Geelong,1.0,5.0,1.0,6.0,2.0,10.0,3.0,11.0,Essendon,0.0,2.0,1.0,4.0,1.0,4.0,5.0,5.0
Semi Final,M.C.G.,1897-08-28 14:30,1897,Essendon,1.0,1.0,2.0,8.0,4.0,11.0,9.0,16.0,Collingwood,1.0,2.0,2.0,2.0,4.0,3.0,4.0,6.0
Semi Final,Brunswick St,1897-08-28 14:30,1897,Geelong,0.0,3.0,2.0,8.0,4.0,9.0,5.0,16.0,Melbourne,3.0,2.0,4.0,4.0,5.0,6.0,5.0,7.0
Semi Final,East Melbourne,1897-09-04 14:30,1897,Geelong,5.0,2.0,7.0,2.0,8.0,4.0,8.0,4.0,Collingwood,0.0,0.0,2.0,6.0,3.0,7.0,6.0,12.0
Semi Final,Lake Oval,1897-09-04 14:30,1897,Essendon,0.0,1.0,0.0,4.0,1.0,6.0,1.0,8.0,Melbourne,0.0,3.0,0.0,4.0,0.0,6.0,0.0,8.0
1,Princes Park,1898-05-14 15:00,1898,Carlton,2.0,2.0,4.0,3.0,5.0,5.0,6.0,11.0,South Melbourne,1.0,2.0,1.0,7.0,2.0,10.0,3.0,12.0
1,Victoria Park,1898-05-14 15:00,1898,Collingwood,3.0,2.0,3.0,4.0,6.0,4.0,7.0,6.0,Geelong,0.0,4.0,1.0,4.0,2.0,9.0,3.0,9.0
1,East Melbourne,1898-05-14 15:00,1898,Essendon,1.0,1.0,5.0,7.0,9.0,8.0,10.0,10.0,Fitzroy,0.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0
1,Junction Oval,1898-05-14 15:00,1898,St Kilda,0.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,Melbourne,4.0,6.0,6.0,9.0,10.0,12.0,13.0,14.0
2,M.C.G.,1898-05-21 15:00,1898,Melbourne,2.0,3.0,6.0,4.0,10.0,9.0,12.0,11.0,Carlton,1.0,0.0,3.0,0.0,3.0,0.0,4.0,2.0
2,Brunswick St,1898-05-21 15:00,1898,Fitzroy,4.0,4.0,5.0,4.0,7.0,5.0,7.0,6.0,Collingwood,0.0,1.0,3.0,3.0,3.0,4.0,5.0,6.0
2,Lake Oval,1898-05-21 15:00,1898,South Melbourne,0.0,0.0,1.0,7.0,2.0,7.0,3.0,9.0,Essendon,2.0,2.0,2.0,4.0,5.0,7.0,5.0,8.0
